epoch,train_loss,val_pair_loss,val_proto_acc,val_proto_auc
1,1.968333,1.467856,0.616753,0.767975
2,1.476733,0.989501,0.547466,0.771441
3,1.346850,1.073167,0.664529,0.732091
test_bal@3,,,0.643678,0.715154
4,1.408066,1.161252,0.478800,0.731617
5,1.416351,0.957129,0.538780,0.780444
6,1.337438,1.114455,0.508790,0.713359
test_bal@6,,,0.597701,0.679746
7,1.282847,1.031074,0.671148,0.731372
8,1.273556,1.004219,0.548501,0.712024
9,1.257246,0.910513,0.522854,0.727778
test_bal@9,,,0.649425,0.709407
10,1.258358,0.918698,0.734643,0.738601
11,1.244213,0.952672,0.483557,0.713383
12,1.218964,1.012182,0.617373,0.721130
test_bal@12,,,0.609195,0.657484
13,1.210383,0.869682,0.708170,0.752845
14,1.116451,0.848404,0.572285,0.740424
15,1.107184,1.642913,0.496587,0.691863
test_bal@15,,,0.620690,0.669837
16,1.035870,0.844250,0.616546,0.730031
17,1.273273,1.137461,0.546639,0.716972
18,1.071998,0.883610,0.665977,0.694086
test_bal@18,,,0.637931,0.690514
19,1.205731,0.954546,0.636608,0.739375
20,1.111243,0.934325,0.665564,0.726764
21,1.032584,0.791816,0.731748,0.698438
test_bal@21,,,0.545977,0.615867
22,1.117258,0.962855,0.540848,0.730630
23,1.154205,2.063272,0.475491,0.680300
24,0.926385,0.823513,0.718925,0.705897
test_bal@24,,,0.603448,0.696459
25,1.123236,0.811602,0.804343,0.754518
26,1.131487,0.788118,0.677559,0.733772
27,1.133626,1.100361,0.550982,0.725398
test_bal@27,,,0.620690,0.685427
28,0.832377,2.126203,0.347673,0.705596
29,0.701434,2.261181,0.411789,0.711866
